attack,group,parameter_name,parameter_symbol,parameter_value,psnr_watermarked_vs_attacked,accuracy,ber,predicted_ones,threshold,blocks_used,available_blocks,start_x,start_y,phase_sign
scale,geometric,scale_factor,k,0.7,7.661288203181438,0.45918367346938777,0.5408163265306123,98,0.0,49,49,5,8,-1
scale,geometric,scale_factor,k,0.85,9.825984118283408,0.5102040816326531,0.4897959183673469,98,0.0,49,49,5,8,-1
scale,geometric,scale_factor,k,1,inf,0.9285714285714286,0.0714285714285714,98,0.0,49,49,5,8,-1
scale,geometric,scale_factor,k,1.15,13.96603630671628,0.46938775510204084,0.5306122448979591,98,0.0,49,49,5,8,-1
scale,geometric,scale_factor,k,1.3,13.011755025465472,0.4897959183673469,0.5102040816326531,98,0.0,49,49,5,8,-1
scale,geometric,scale_factor,k,1.45,12.24248712131018,0.5102040816326531,0.4897959183673469,98,0.0,49,49,5,8,-1
cut,geometric,area_fraction,ϑ,0.2,12.676882549395588,0.9285714285714286,0.0714285714285714,98,0.0,49,49,5,8,-1
cut,geometric,area_fraction,ϑ,0.3,10.94033996762013,0.9489795918367347,0.05102040816326525,98,3.110304982317791e-17,49,49,5,8,-1
cut,geometric,area_fraction,ϑ,0.4,9.729596874390918,0.9489795918367347,0.05102040816326525,98,3.729655473350135e-17,49,49,5,8,-1
cut,geometric,area_fraction,ϑ,0.5,8.866065319364377,0.9285714285714286,0.0714285714285714,98,-5.204170427930421e-17,49,49,5,8,-1
cut,geometric,area_fraction,ϑ,0.6,8.060443265729711,0.9591836734693877,0.04081632653061229,98,0.0,49,49,5,8,-1
cut,geometric,area_fraction,ϑ,0.7,7.228778925661878,0.9285714285714286,0.0714285714285714,98,0.0,49,49,5,8,-1
cut,geometric,area_fraction,ϑ,0.8,6.587987697378828,0.9285714285714286,0.0714285714285714,98,0.0,49,49,5,8,-1
cut,geometric,area_fraction,ϑ,0.9,6.105016638026706,0.7142857142857143,0.2857142857142857,98,7.37257477290143e-18,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.1,11.611562199283492,0.46938775510204084,0.5306122448979591,98,0.0,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.2,11.356138697640095,0.5408163265306123,0.4591836734693877,98,-6.7220534694101275e-18,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.3,11.006624680154168,0.40816326530612246,0.5918367346938775,98,0.0,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.4,11.282163713100356,0.5102040816326531,0.4897959183673469,98,0.0,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.5,11.874596246711143,0.9693877551020408,0.030612244897959218,98,-7.28583859910259e-17,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.6,11.30364219859465,0.46938775510204084,0.5306122448979591,98,0.0,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.7,11.004356595556324,0.5510204081632653,0.44897959183673475,98,0.0,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.8,11.34633124422744,0.40816326530612246,0.5918367346938775,98,-1.5612511283791264e-17,49,49,5,8,-1
cyclic_shift,geometric,shift_fraction,r,0.9,11.608180213624888,0.5204081632653061,0.47959183673469385,98,0.0,49,49,5,8,-1
smooth,filtering,window_size,M,3,33.6295680405565,0.7551020408163265,0.24489795918367352,98,0.0,49,49,5,8,-1
smooth,filtering,window_size,M,5,29.567692016926923,0.37755102040816324,0.6224489795918368,98,-8.023096076392733e-18,49,49,5,8,-1
smooth,filtering,window_size,M,7,27.48625984980153,0.5,0.5,98,0.0,49,49,5,8,-1
smooth,filtering,window_size,M,9,26.156805470940846,0.42857142857142855,0.5714285714285714,98,0.0,49,49,5,8,-1
